Ano: 1998,Ano: 1999,Ano: 2000,Ano: 2001,Ano: 2002,Ano: 2003,Ano: 2004,Ano: 2005,Ano: 2006,Ano: 2007,Ano: 2008,Ano: 2009,Ano: 2010,Ano: 2011,Ano: 2012,Ano: 2013,Ano: 2014,Ano: 2015,Ano: 2016,Ano: 2017
0,142,72,157,511,1743,1165,2204,610,765,426,359,970,401,659,661,763,1321,4012,499
0,351,160,678,657,888,395,266,375,932,237,195,694,173,277,153,392,723,1353,231
0,123,399,1114,873,1255,347,310,441,798,443,228,776,183,234,332,651,374,1497,422
0,36,59,400,94,370,277,101,212,80,251,132,491,239,280,287,428,435,642,303
0,31,153,69,177,128,412,322,54,264,91,331,705,439,583,451,787,644,1050,801
341,172,398,385,691,470,1598,1238,417,819,348,502,915,990,1218,1139,423,1613,2006,2361
1752,1506,1083,1626,2480,3197,7281,7290,1515,1793,1699,1748,5356,2304,2869,2264,2696,3021,6856,11100
13268,9761,9958,14330,23650,18513,23360,28094,14252,27093,7845,7031,17666,6747,12946,5013,18392,20227,17598,27662
15937,11328,8044,13457,20988,25411,30794,35557,26011,31761,12784,14598,20458,14305,7094,8199,12223,31786,18272,48979
6056,8862,6240,7252,12410,11938,11114,12070,9865,7374,12724,12220,8932,6714,7156,9539,9414,19630,12665,16500
2003,2825,3691,5856,10416,7828,12021,6799,3554,3497,2933,12728,5697,4308,8360,4887,9779,14227,10772,11720
1353,860,1892,3277,3692,5826,6809,1712,1634,737,730,3403,2081,4094,2571,6194,6125,8411,4333,0
