Ano: 1998,Ano: 1999,Ano: 2000,Ano: 2001,Ano: 2002,Ano: 2003,Ano: 2004,Ano: 2005,Ano: 2006,Ano: 2007,Ano: 2008,Ano: 2009,Ano: 2010,Ano: 2011,Ano: 2012,Ano: 2013,Ano: 2014,Ano: 2015,Ano: 2016,Ano: 2017
0,0,0,0,0,10,0,12,4,0,0,0,1,1,0,0,0,1,12,0
0,0,0,0,1,0,3,0,0,5,0,2,0,0,0,0,0,2,5,1
0,0,11,0,0,0,0,3,0,2,0,1,0,0,1,2,1,2,0,0
0,0,1,0,0,1,2,1,0,0,0,0,3,3,1,19,7,3,0,1
0,0,1,0,0,6,7,2,8,1,0,3,9,9,3,4,1,2,21,10
3,0,1,1,0,0,5,27,1,4,0,0,1,1,7,8,17,40,87,45
37,1,1,3,39,168,42,368,33,29,41,31,126,126,71,54,60,109,533,457
130,63,136,396,728,1976,645,4198,839,960,445,194,1682,1682,739,679,11,1397,2188,1493
509,209,265,290,1949,3942,1978,4253,237,208,1666,1265,2531,2531,1996,2136,2175,2928,3586,3429
44,60,18,137,687,740,461,547,316,203,652,565,292,292,348,258,406,905,509,1508
0,0,0,1,86,15,10,14,18,7,4,33,39,39,13,79,56,115,46,98
7,0,0,0,1,1,7,2,0,0,0,1,0,0,1,3,6,8,6,0
