Ano: 1998,Ano: 1999,Ano: 2000,Ano: 2001,Ano: 2002,Ano: 2003,Ano: 2004,Ano: 2005,Ano: 2006,Ano: 2007,Ano: 2008,Ano: 2009,Ano: 2010,Ano: 2011,Ano: 2012,Ano: 2013,Ano: 2014,Ano: 2015,Ano: 2016,Ano: 2017
0,0,2,0,7,31,38,109,6,0,2,4,2,0,30,3,10,14,19,2
0,1,0,0,2,0,2,1,2,0,0,0,0,3,5,0,2,1,1,0
0,2,0,0,0,1,0,0,0,0,1,1,2,0,1,0,1,2,5,0
0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,2,0,0,0,3
0,0,0,0,3,0,0,0,0,0,0,2,2,2,2,0,0,0,1,1
0,2,0,0,0,0,5,2,0,0,0,1,0,0,7,1,0,3,2,2
0,0,0,1,1,0,2,0,0,0,0,4,2,5,3,1,4,5,1,3
1,0,3,12,18,14,9,4,11,5,4,20,1,16,19,9,18,40,37,33
20,4,19,95,73,88,67,97,112,61,83,188,63,128,168,85,137,192,142,95
42,25,42,194,557,355,412,335,405,162,395,765,265,304,475,385,480,827,793,468
131,26,157,406,1096,750,949,685,207,198,266,1019,339,282,969,341,484,13,1161,858
84,41,30,593,200,411,777,38,74,14,32,123,43,360,422,148,354,269,491,0
