Ano: 1998,Ano: 1999,Ano: 2000,Ano: 2001,Ano: 2002,Ano: 2003,Ano: 2004,Ano: 2005,Ano: 2006,Ano: 2007,Ano: 2008,Ano: 2009,Ano: 2010,Ano: 2011,Ano: 2012,Ano: 2013,Ano: 2014,Ano: 2015,Ano: 2016,Ano: 2017
0,87,30,34,144,900,579,1768,403,467,131,241,437,108,392,167,251,725,1322,219
0,285,29,16,120,34,20,85,49,23,54,15,102,13,63,30,37,108,430,14
0,7,181,0,14,27,22,21,10,6,4,4,110,21,30,19,34,61,81,42
0,6,40,0,11,14,23,14,2,0,7,8,22,10,11,20,27,27,66,45
0,4,12,7,18,3,44,37,0,9,0,7,57,16,59,42,70,95,154,114
58,37,59,42,149,64,340,304,78,129,48,38,94,105,183,173,319,265,502,679
638,982,426,708,772,1571,4436,4364,615,476,971,397,1432,632,661,447,825,906,1579,4985
6815,6178,5484,9043,15664,6255,12812,13055,7575,14352,4435,3859,1813,2195,6964,2161,8555,7913,4863,11962
6237,4419,2569,6139,5609,8447,9471,9032,8372,1459,6294,6051,1081,5185,687,336,6787,11068,3953,25004
3665,5026,4313,5096,5189,3803,4726,5083,5964,2504,6653,6342,3843,3141,3714,4921,6448,7781,5281,7628
1861,2682,3366,4938,7996,6195,9842,4968,2883,289,2403,10012,4417,3043,6156,3688,7767,9643,7879,9079
1008,766,1698,2564,3118,4787,5508,1495,1417,689,684,2832,1612,3218,1812,5514,4828,661,33,0
