Ano: 1998,Ano: 1999,Ano: 2000,Ano: 2001,Ano: 2002,Ano: 2003,Ano: 2004,Ano: 2005,Ano: 2006,Ano: 2007,Ano: 2008,Ano: 2009,Ano: 2010,Ano: 2011,Ano: 2012,Ano: 2013,Ano: 2014,Ano: 2015,Ano: 2016,Ano: 2017
0,1,0,0,6,62,30,99,16,33,4,17,18,1,2,7,12,30,93,44
0,1,6,2,8,10,12,42,17,8,7,1,9,2,9,8,5,22,88,10
0,8,9,0,1,13,20,17,15,20,2,12,11,6,6,23,13,15,25,21
0,3,0,0,3,10,14,7,0,0,8,3,19,8,12,9,15,15,59,19
0,3,13,5,10,21,9,38,7,4,1,6,41,54,22,9,28,13,44,31
26,10,54,31,141,74,151,153,40,71,11,13,44,130,32,22,92,119,170,192
365,135,117,74,539,516,1,233,798,314,187,138,110,747,293,205,117,192,423,969,1,28
2,254,1,976,2,197,2,132,3,465,7,06,6,893,6,672,3,124,4,786,1,251,484,4,388,1,161,2,209,885,3,038,3,762,3,675,4,287
3,753,3,062,2,438,1,927,7,067,6,89,13,05,13,972,9,92,6,832,3,726,1,869,4,893,1,782,2,471,1,776,2,8,6,129,4,208,5,638
483,1,884,644,796,3,554,4,962,3,094,2,559,1,148,2,023,1,482,1,444,1,307,822,1,229,555,1,063,2,598,1,844,2,19
3,41,13,91,639,526,452,465,253,53,78,128,238,245,174,108,202,1,002,401,372
33,0,7,1,91,214,208,36,4,6,2,9,158,37,50,143,144,282,148,0
