Ano: 1998,Ano: 1999,Ano: 2000,Ano: 2001,Ano: 2002,Ano: 2003,Ano: 2004,Ano: 2005,Ano: 2006,Ano: 2007,Ano: 2008,Ano: 2009,Ano: 2010,Ano: 2011,Ano: 2012,Ano: 2013,Ano: 2014,Ano: 2015,Ano: 2016,Ano: 2017
0,1,0,0,6,62,30,99,16,33,4,17,18,1,2,7,12,30,93,44
0,1,6,2,8,10,12,42,17,8,7,1,9,2,9,8,5,22,88,10
0,8,9,0,1,13,20,17,15,20,2,12,11,6,6,23,13,15,25,21
0,3,0,0,3,10,14,7,0,0,8,3,19,8,12,9,15,15,59,19
0,3,13,5,10,21,9,38,7,4,1,6,41,54,22,9,28,13,44,31
26,10,54,31,141,74,151,153,40,71,11,13,44,130,32,22,92,119,170,192
365,135,117,74,539,516,1233,798,314,187,138,110,747,293,205,117,192,423,969,128
2254,1976,2197,2132,3465,706,6893,6672,3124,4786,1251,484,4388,1161,2209,885,3038,3762,3675,4287
3753,3062,2438,1927,7067,689,1305,13972,992,6832,3726,1869,4893,1782,2471,1776,28,6129,4208,5638
483,1884,644,796,3554,4962,3094,2559,1148,2023,1482,1444,1307,822,1229,555,1063,2598,1844,219
3,41,13,91,639,526,452,465,253,53,78,128,238,245,174,108,202,1002,401,372
33,0,7,1,91,214,208,36,4,6,2,9,158,37,50,143,144,282,148,0
