Ano: 1998,Ano: 1999,Ano: 2000,Ano: 2001,Ano: 2002,Ano: 2003,Ano: 2004,Ano: 2005,Ano: 2006,Ano: 2007,Ano: 2008,Ano: 2009,Ano: 2010,Ano: 2011,Ano: 2012,Ano: 2013,Ano: 2014,Ano: 2015,Ano: 2016,Ano: 2017
0,36,15,19,35,35,40,66,91,34,28,43,79,14,12,50,89,186,42,61
0,1,6,6,48,15,7,27,14,8,6,21,32,13,45,37,73,65,383,25
0,1,4,0,33,19,23,13,11,99,4,23,120,16,80,60,58,85,165,98
0,9,0,19,37,64,52,52,4,22,46,5,419,106,226,130,187,88,369,164
0,24,69,48,138,96,350,236,35,250,81,91,580,354,467,373,618,512,778,576
252,113,278,305,396,329,1079,669,289,591,282,421,767,717,922,873,1372,115,1148,132
640,373,500,830,976,762,1389,1082,430,982,441,989,2408,1001,1693,1393,1404,1217,2737,2397
3747,1284,1949,2242,3027,1339,1776,184,1277,4747,845,1124,7865,1668,428,181,2917,254,3213,3536
5149,3415,2552,4839,5314,4637,5308,5319,2979,6829,239,2017,10172,4658,746,2445,352,551,3245,10737
1738,1378,1053,684,1537,1339,1658,2913,1176,2252,2832,718,2272,1591,368,2155,4,4844,2032,2969
1,29,96,100,207,146,424,271,108,147,104,251,283,144,179,345,451,833,623,434
9,16,20,21,39,109,96,53,15,13,7,46,72,105,128,85,223,373,119,0
